trial,swap_count,choice_arm,reward,is_optimal,q_arm1_pre,q_arm2_pre,q_arm3_pre,q_chosen_pre,p_choose_arm1,p_choose_arm2,p_choose_arm3,p_chosen,prediction_error,alpha_used,rt,participant_id,session,file_name
92,1,3,1,1.0,-0.5719029741794038,-0.9999470609571071,0.999999844475264,0.999999844475264,0.018585731042027955,0.006321843539118887,0.975092425418853,0.975092425418853,1.5552473597857386e-07,0.8052152389611741,0.4595,1,1,sub-001_ses-001_1.csv
93,1,3,1,1.0,-0.5719029741794038,-0.9999470609571071,0.9999999697061515,0.9999999697061515,0.018585725324326636,0.0063218415942713525,0.9750924330814021,0.9750924330814021,3.0293848540807744e-08,0.8052152389611741,0.536,1,1,sub-001_ses-001_1.csv
94,1,3,0,1.0,-0.5719029741794038,-0.9999470609571071,0.9999999940992199,0.9999999940992199,0.01858572421060575,0.006321841215444764,0.9750924345739492,0.9750924345739492,-1.99999999409922,0.7779413151016228,1.1709,1,1,sub-001_ses-001_1.csv
95,1,2,0,0.0,-0.5719029741794038,-0.9999470609571071,-0.555882631513565,-0.9999470609571071,0.41993321379636983,0.14283818422298344,0.43722860198064667,0.14283818422298344,-5.2939042892941046e-05,0.7779413151016228,0.2904,1,1,sub-001_ses-001_1.csv
96,1,2,0,0.0,-0.5719029741794038,-0.9999882444257554,-0.555882631513565,-0.9999882444257554,0.41993943702871306,0.14282548144797044,0.4372350815233164,0.14282548144797044,-1.1755574244598499e-05,0.7779413151016228,0.9916,1,1,sub-001_ses-001_1.csv
97,1,3,0,1.0,-0.5719029741794038,-0.9999973895726431,-0.555882631513565,-0.555882631513565,0.4199408188889207,0.14282266081419878,0.43723652029688054,0.43723652029688054,-0.444117368486435,0.7779413151016228,0.6784,1,1,sub-001_ses-001_1.csv
98,1,3,1,1.0,-0.5719029741794038,-0.9999973895726431,-0.9013798812133742,-0.9013798812133742,0.5630234711944923,0.19148533945711488,0.2454911893483929,0.2454911893483929,1.9013798812133742,0.8052152389611741,0.3977,1,1,sub-001_ses-001_1.csv
99,1,3,1,1.0,-0.5719029741794038,-0.9999973895726431,0.6296401741938218,0.6296401741938218,0.045502109549355164,0.01547535287398928,0.9390225375766557,0.9390225375766557,0.3703598258061782,0.8052152389611741,0.4182,1,1,sub-001_ses-001_1.csv
100,1,3,1,1.0,-0.5719029741794038,-0.9999973895726431,0.9278595498319624,0.9278595498319624,0.022179936562061194,0.007543438060784537,0.9702766253771542,0.9702766253771542,0.0721404501680376,0.8052152389611741,0.4109,1,1,sub-001_ses-001_1.csv
101,1,3,0,1.0,-0.5719029741794038,-0.9999973895726431,0.9859481396527855,0.9859481396527855,0.019238215190128895,0.006542953100010823,0.9742188317098602,0.9742188317098602,-1.9859481396527854,0.7779413151016228,0.3568,1,1,sub-001_ses-001_1.csv
